"count","E","logSMR","varSMR"
75,80.7,-0.0732504617395927,0.0133333333333333
145,169.8,-0.157887531456673,0.00689655172413793
99,123.2,-0.218689200964829,0.0101010101010101
168,139.5,0.185899378141839,0.00595238095238095
152,169.1,-0.106609735058258,0.00657894736842105
173,107.2,0.478595345861077,0.00578034682080925
152,179.8,-0.167964601191244,0.00657894736842105
169,160.4,0.0522280194906593,0.00591715976331361
130,147.5,-0.126293725324292,0.00769230769230769
117,116.8,0.00171086440362939,0.00854700854700855
124,102.8,0.187496212583972,0.00806451612903226
119,91.8,0.259511195485085,0.00840336134453781
134,119.6,0.11368695843438,0.00746268656716418
90,114.8,-0.243381813555201,0.0111111111111111
98,131.1,-0.290992912099082,0.0102040816326531
89,136.1,-0.42475353992528,0.0112359550561798
128,116.6,0.0932809900032252,0.0078125
145,98.5,0.386677194242531,0.00689655172413793
130,88.8,0.381147800457458,0.00769230769230769
69,79.8,-0.145416999858504,0.0144927536231884
246,144.9,0.529287686605726,0.0040650406504065
166,134.7,0.208937704940225,0.00602409638554217
95,98.9,-0.0402323470281256,0.0105263157894737
135,118.6,0.129518291874804,0.00740740740740741
98,130.6,-0.287171738171759,0.0102040816326531
97,96.1,0.00932166252713609,0.0103092783505155
202,127.1,0.463293519205796,0.00495049504950495
75,97.7,-0.264413445512427,0.0133333333333333
100,88.5,0.122167633974208,0.01
100,121.4,-0.193920692637306,0.01
153,156.8,-0.0245331865238721,0.0065359477124183
194,114,0.531659710668833,0.00515463917525773
